County,BowAndArrow,Crossbow,Gun,Muzzleloader,Unknown,Total,Year
Alamance,0,0,0,0,0,0,2015
Alamance,0,0,0,0,0,0,2016
Alamance,0,0,0,0,,0,2017
Alamance,0,0,0,0,,0,2018
Alamance,0,0,0,0,,0,2019
Alamance,0,0,1,0,,1,2020
Alamance,0,0,0,0,,0,2021
Alexander,0,0,1,0,0,1,2015
Alexander,0,0,0,0,0,0,2016
Alexander,0,0,2,0,,2,2017
Alexander,0,0,0,0,,0,2018
Alexander,0,0,2,0,,2,2019
Alexander,0,0,0,0,,0,2020
Alexander,0,0,0,0,,0,2021
Alleghany,1,1,3,3,0,8,2015
Alleghany,2,0,4,5,0,11,2016
Alleghany,3,1,2,5,,11,2017
Alleghany,4,0,7,3,,14,2018
Alleghany,5,2,9,7,,23,2019
Alleghany,1,1,3,3,,8,2020
Alleghany,0,0,6,1,,7,2021
Anson,0,0,0,0,0,0,2015
Anson,0,0,0,0,0,0,2016
Anson,0,0,0,0,,0,2017
Anson,0,0,0,0,,0,2018
Anson,1,0,0,0,,1,2019
Anson,0,0,0,0,,0,2020
Anson,0,0,0,0,,0,2021
Ashe,6,0,13,10,0,29,2015
Ashe,4,3,12,11,0,30,2016
Ashe,6,1,27,16,,50,2017
Ashe,1,6,21,9,,37,2018
Ashe,5,1,24,8,,38,2019
Ashe,2,1,21,7,,31,2020
Ashe,2,1,12,8,,23,2021
Avery,2,0,45,1,0,48,2015
Avery,2,1,40,0,0,43,2016
Avery,4,0,46,0,,50,2017
Avery,1,1,49,1,,52,2018
Avery,1,2,54,0,,57,2019
Avery,1,1,39,0,,41,2020
Avery,4,5,50,0,,59,2021
Beaufort,1,1,197,2,0,201,2015
Beaufort,2,2,184,1,0,189,2016
Beaufort,5,2,221,0,,228,2017
Beaufort,0,2,191,1,,194,2018
Beaufort,2,1,221,0,,224,2019
Beaufort,1,0,230,0,,231,2020
Beaufort,2,1,241,5,,249,2021
Bertie,0,0,80,0,1,81,2015
Bertie,0,0,78,0,1,79,2016
Bertie,0,0,99,1,,100,2017
Bertie,0,0,74,1,,75,2018
Bertie,0,0,89,1,,90,2019
Bertie,0,0,64,0,,64,2020
Bertie,2,0,80,0,,82,2021
Bladen,0,0,87,3,0,90,2015
Bladen,1,0,98,1,1,101,2016
Bladen,2,0,117,2,,121,2017
Bladen,2,0,93,0,,95,2018
Bladen,1,1,135,0,,137,2019
Bladen,0,0,140,3,,143,2020
Bladen,1,0,145,1,,147,2021
Brunswick,1,0,30,0,0,31,2015
Brunswick,1,1,54,0,0,56,2016
Brunswick,3,0,52,2,,57,2017
Brunswick,0,0,32,0,,32,2018
Brunswick,2,0,51,0,,53,2019
Brunswick,0,0,71,0,,71,2020
Brunswick,2,0,46,0,,48,2021
Buncombe,6,2,53,0,0,61,2015
Buncombe,8,1,59,0,0,68,2016
Buncombe,8,9,51,1,,69,2017
Buncombe,21,9,73,0,,103,2018
Buncombe,27,16,76,2,,121,2019
Buncombe,14,7,65,0,,86,2020
Buncombe,28,11,82,1,,122,2021
Burke,0,1,32,0,0,33,2015
Burke,3,0,33,0,0,36,2016
Burke,0,1,46,0,,47,2017
Burke,1,0,43,0,,44,2018
Burke,3,0,38,0,,41,2019
Burke,2,1,53,2,,58,2020
Burke,3,1,44,1,,49,2021
Cabarrus,0,0,0,0,0,0,2015
Cabarrus,0,0,39,0,0,39,2016
Cabarrus,0,0,0,0,,0,2017
Cabarrus,0,0,0,0,,0,2018
Cabarrus,0,0,0,0,,0,2019
Cabarrus,0,0,0,0,,0,2020
Cabarrus,0,0,0,0,,0,2021
Caldwell,3,0,47,1,0,51,2015
Caldwell,0,0,0,1,0,1,2016
Caldwell,1,1,46,0,,48,2017
Caldwell,2,2,40,1,,45,2018
Caldwell,1,0,45,0,,46,2019
Caldwell,2,0,41,0,,43,2020
Caldwell,1,1,55,0,,57,2021
Camden,2,0,61,0,0,63,2015
Camden,3,0,76,0,0,79,2016
Camden,1,0,76,0,,77,2017
Camden,2,2,58,1,,63,2018
Camden,1,1,67,1,,70,2019
Camden,2,0,67,2,,71,2020
Camden,3,0,92,1,,96,2021
Carteret,0,0,36,0,0,36,2015
Carteret,1,0,27,1,0,29,2016
Carteret,0,0,45,0,,45,2017
Carteret,0,0,35,0,,35,2018
Carteret,0,0,30,0,,30,2019
Carteret,0,0,44,0,,44,2020
Carteret,1,0,58,0,,59,2021
Caswell,0,0,3,0,0,3,2015
Caswell,0,0,7,0,0,7,2016
Caswell,0,0,5,0,,5,2017
Caswell,1,0,3,0,,4,2018
Caswell,1,0,6,0,,7,2019
Caswell,0,0,5,0,,5,2020
Caswell,0,0,11,0,,11,2021
Catawba,0,0,1,0,0,1,2015
Catawba,0,0,0,0,0,0,2016
Catawba,0,0,1,0,,1,2017
Catawba,0,0,0,0,,0,2018
Catawba,0,0,1,0,,1,2019
Catawba,0,0,0,0,,0,2020
Catawba,0,0,1,0,,1,2021
Chatham,0,0,0,0,0,0,2015
Chatham,0,0,1,0,0,1,2016
Chatham,0,0,0,0,,0,2017
Chatham,0,0,0,0,,0,2018
Chatham,0,0,0,0,,0,2019
Chatham,0,0,0,0,,0,2020
Chatham,0,0,0,0,,0,2021
Cherokee,0,0,65,0,0,65,2015
Cherokee,0,0,44,0,0,44,2016
Cherokee,0,0,64,0,,64,2017
Cherokee,3,0,57,0,,60,2018
Cherokee,2,0,45,0,,47,2019
Cherokee,0,1,34,0,,35,2020
Cherokee,0,0,42,0,,42,2021
Chowan,0,0,13,0,0,13,2015
Chowan,0,0,6,0,0,6,2016
Chowan,0,0,12,0,,12,2017
Chowan,0,0,7,0,,7,2018
Chowan,0,0,8,0,,8,2019
Chowan,0,0,10,1,,11,2020
Chowan,0,0,13,0,,13,2021
Clay,0,0,28,1,0,29,2015
Clay,0,0,27,0,0,27,2016
Clay,0,0,31,1,,32,2017
Clay,0,1,39,0,,40,2018
Clay,1,0,37,0,,38,2019
Clay,0,0,34,0,,34,2020
Clay,0,0,32,0,,32,2021
Cleveland,0,0,0,0,0,0,2015
Cleveland,0,0,0,0,0,0,2016
Cleveland,0,0,0,0,,0,2017
Cleveland,0,0,0,0,,0,2018
Cleveland,0,0,0,0,,0,2019
Cleveland,2,1,2,0,,5,2020
Cleveland,0,0,1,0,,1,2021
Columbus,0,0,9,0,0,9,2015
Columbus,0,1,24,0,0,25,2016
Columbus,0,0,23,0,,23,2017
Columbus,0,0,15,0,,15,2018
Columbus,0,0,22,0,,22,2019
